Number	Source	Context	Possessor_animacy	Possessor_length 	Possessum_length 	Final_sibilancy 	Prototypicality	Genitive_type 	Register 
1	NEWS	"facilities at Abqaiq and Khurais knocked out half of the oil output from the world 's top exporter, sending consumers in Asia scrambling for alternatives. A return to normal"	N	2	2	N	N	s_gen 	LT
2	NEWS	"was seen at the 46th District Court of Southfield and were able to obtain Burgess 's name from the courthouse. # "" Burgess is an acquaintance of one of the"	Y	1	1	N	Y	s_gen 	LT
3	NEWS	"the game, he had four in the third period alone. After allowing Ovechkin 's power-play goal, Price made three saves to deny him the hat trick and keep"	Y	1	2	N	Y	s_gen 	LT
4	ACAD	". Richard Bentley and son, 1890. # --. Notes upon Some of Shakespeare 's Plays. Richard Bentley and son, 1882. # --. Records of a Girlhood"	Y	1	1	N	Y	s_gen 	LT
5	NEWS	"story # Seattle City Councilmember Rob Johnson thinks so -- and points to the city 's housing crisis. "" We're in a circumstance where we're seeing 40 people"	N	2	2	N	N	s_gen 	LT
6	NEWS	", education, health and safety, affordability and socioeconomic environment. # Downers Grove 's overall score on the 100-point scale was 60.25. It ranked 138 for family fun"	Y	2	2	N	Y	s_gen 	LT
7	NEWS	"# But the folks at Rover also shared some surging pop culture-inspired monikers for man 's best friend. # In addition to stand-alone stars like Beyonc?, Supreme Court"	Y	1	2	N	Y	s_gen 	LT
8	NEWS	"arrest Friday night inside a Jewel-Osco store at 2940 N. Ashland Ave. on Chicago 's North Side. # Additionally, Arres said a DuPage County warrant has been issued"	N	1	2	N	Y	s_gen 	LT
9	NEWS	", in court filings, said that made its agreement with Patriot void. Patriot 's bankruptcy plan was confirmed by the court last week. Peabody has a $75 million"	Y	1	2	N	Y	s_gen 	LT
10	ACAD	"such preparation may help lengthen tenure in office, thus supporting organizational stability. Satir 's model (Satir et al., 1991) offers aspiring leaders, mentors, and"	Y	1	1	N	Y	s_gen 	LT
11	ACAD	opportunities for students to encounter target words in content area texts. # The teacher 's role when introducing words in context is to facilitate discussion of how words are used	Y	2	1	N	N	s_gen 	LT
12	NEWS	"the identity of Deathlok, a cyborg character from the comics never seen in Marvel 's filmed entertainment. Turns out "" S.H.I.E.L.D. "" producers planned for Deathlok from the"	N	1	2	N	Y	s_gen 	LT
